instant_x,dateday,season_x,year_x,month_x,hour,holiday_x,weekday_x,workingday_x,weathercituation_x,temp_x,atemp_x,humidity_x,windspeed_x,unregistered_x,registered_x,count_x,instant_y,season_y,year_y,month_y,holiday_y,weekday_y,workingday_y,weathercituation_y,temp_y,atemp_y,humidity_y,windspeed_y,unregistered_y,registered_y,count_y,season_type,recency,frequency,monetary,R,F,M,RFM_Score
1,2011-01-01,1,2011,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1001,644398,4,1,1,411
2,2011-01-01,1,2011,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1025,645470,4,1,1,411
3,2011-01-01,1,2011,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1017,645054,4,1,1,411
4,2011-01-01,1,2011,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,998,644320,4,1,1,411
5,2011-01-01,1,2011,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,986,644191,4,1,1,411
6,2011-01-01,1,2011,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,986,644191,4,1,1,411
7,2011-01-01,1,2011,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,987,644190,4,1,1,411
8,2011-01-01,1,2011,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,988,644196,4,1,1,411
9,2011-01-01,1,2011,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,993,644246,4,1,1,411
10,2011-01-01,1,2011,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,999,644274,4,1,1,411
11,2011-01-01,1,2011,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1021,645054,4,1,1,411
12,2011-01-01,1,2011,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1041,645870,4,1,1,411
13,2011-01-01,1,2011,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1069,648810,4,1,1,411
14,2011-01-01,1,2011,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1079,648608,4,1,1,411
15,2011-01-01,1,2011,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1091,651716,4,1,1,411
16,2011-01-01,1,2011,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1095,651890,4,1,1,411
17,2011-01-01,1,2011,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1078,649026,4,1,1,411
18,2011-01-01,1,2011,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1052,647674,4,1,1,411
